customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0691-MWUUM,Female,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.84,932.23,No
0692-BDFZW,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,71.14,3063.15,No
0693-EYCAD,Female,0,Yes,Yes,68,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),68.42,4725.12,Yes
0694-YTBZE,Female,0,No,No,42,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Electronic check,44.4,1926.52,No
0695-CITFR,Female,0,Yes,Yes,46,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,63.1,2921.86,No
0696-FSLYK,Female,0,No,No,47,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),73.28,3451.88,No
0697-BOLLI,Female,0,Yes,Yes,18,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,42.24,778.73,No
0698-UXBVC,Female,0,No,Yes,20,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,64.33,1262.82,Yes
0699-LZPUX,Male,0,No,Yes,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),74.83,166.85,Yes
0700-ZAUCT,Male,0,No,No,55,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.75,3258.64,No
0701-BISOR,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,75.38,3171.75,No
0702-ZKYWP,Female,1,No,No,0,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,60.52,30.51,No
0703-VQELK,Female,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),23.41,849.83,No
0704-OCATP,Female,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.5,186.37,Yes
0705-BBCHX,Female,0,Yes,No,45,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),58.48,2590.23,No
0706-OGFIT,Male,0,Yes,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Mailed check,64.41,1508.61,No
0707-AHWWC,Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,70.23,1482.03,No
0708-DZYOF,Male,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.54,1217.13,No
0709-OUCYU,Male,0,No,Yes,37,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,76.83,2930.59,No
0710-UNTND,Male,1,Yes,No,34,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),57.6,1978.53,No
0711-LQGIC,Male,0,No,Yes,33,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),49.14,1566.74,No
0712-MORSA,Male,1,No,No,49,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),59.36,2832.74,No
0713-FWBXN,Female,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.35,873.47,No
0714-FNDUH,Female,0,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.6,718.15,No
0715-CSNTQ,Female,0,No,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),63.85,995.83,No
0716-YHXNZ,Female,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.82,1038.66,No
0717-FWVPY,Male,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,60.36,3888.53,No
0718-SNSCJ,Male,1,Yes,No,62,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.83,5259.32,No
0719-SITMG,Female,0,No,No,51,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),74.18,3711.98,Yes
0720-NIWYS,Male,0,No,No,72,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),62.31,4401.14,No
0721-OTNXF,Female,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Electronic check,66.22,3888.75,No
0722-UDHQI,Male,0,Yes,Yes,16,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,70.99,1059.36,Yes
0723-AXTYN,Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),70.2,4505.97,Yes
0724-KUCIN,Male,0,No,No,37,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,56.64,2096.74,Yes
0725-IDDHB,Male,0,No,No,28,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,67.51,1900.09,No
0726-INVIX,Female,0,Yes,No,30,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),78.54,2342.98,No
0727-WPQPL,Male,0,Yes,No,58,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,55.61,3234.13,No
0728-CKNRU,Female,1,No,Yes,53,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,50.76,2613.61,No
0729-UEPTE,Female,1,Yes,No,52,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,67.53,3546.78,No
0730-CLAUI,Male,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.28,495.4,No
0731-IDCQB,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Mailed check,59.24,691.59,Yes
0732-XAHMW,Female,1,Yes,No,56,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,41.91,2235.11,No
0733-OHLVL,Female,0,No,No,18,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,63.12,1099.43,No
0734-NOOIS,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),58.64,1544.78,Yes
0735-ZTVHU,Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,52.21,582.15,Yes
0736-SFTYS,Male,0,No,Yes,51,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,59.66,3156.06,No
0737-DWGDV,Male,0,No,No,63,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,73.37,4655.05,No
0738-LMCVL,Male,0,No,No,57,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),39.15,2254.06,No
0739-BXBWI,Female,1,Yes,No,18,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,62.17,1144.46,Yes
0740-AHWFF,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,70.36,87.5,No
0741-VYRQL,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,74.35,4910.72,No
0742-FZHSJ,Male,1,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.43,585.18,No
0743-AYMQC,Female,0,Yes,No,5,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),45.48,120.02,No
0744-HNCPM,Male,0,No,Yes,12,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,75.59,893.51,No
0745-TXQMF,Female,0,Yes,No,26,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,52.07,1345.42,No
0746-QNQHK,Male,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.2,229.18,No
0747-TAZGU,Female,0,No,No,15,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),47.18,650.1,No
0748-UQJKV,Female,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.25,401.44,No
0749-IIXEQ,Male,0,Yes,Yes,46,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),52.53,2389.71,No
0750-IQXUS,Male,0,Yes,No,11,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),46.17,425.37,No
0751-GWIGM,Male,0,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,58.4,1556.97,No
0752-KNSKM,Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,60.31,976.26,No
0753-NMAHL,Male,0,No,No,57,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,55.61,3134.61,No
0754-SLHHU,Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),87.25,66.18,No
0755-MLPAM,Male,0,No,Yes,45,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,82.38,3814.58,Yes
0756-ZGZEH,Male,0,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),76.65,1262.99,No
0757-YNWMO,Male,0,No,No,63,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),76.86,4891.5,No
0758-WQOTR,Female,0,Yes,No,64,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,59.55,3834.43,No
0759-RBDAD,Male,0,No,Yes,53,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,47.22,2505.24,Yes
0760-RESOH,Male,1,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.25,814.25,No
0761-TQALZ,Male,0,No,No,54,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.91,1169.43,No
0762-SOIGB,Male,0,No,No,13,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,52.65,608.27,No
0763-IJBSK,Female,0,No,Yes,43,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),80.1,3437.97,No
0764-MJNRS,Female,0,No,No,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,79.21,2926.15,No
0765-VIYGC,Male,1,No,Yes,57,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.56,3736.43,No
0766-TFUBF,Male,0,No,No,48,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,46.54,2280.76,No
0767-CPHBQ,Male,1,No,Yes,15,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,74.27,1092.41,Yes
0768-ILCKA,Female,0,No,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,519.53,No
0769-WMOZE,Female,0,No,No,67,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,53.43,3556.01,No
0770-UQYWX,Male,0,No,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.57,1610.42,No
0771-YFUVK,Female,0,Yes,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.25,685.47,No
0772-RDCMW,Female,1,No,No,68,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.46,4609.76,No
0773-IUFZL,Female,0,No,No,54,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,57.18,3084.44,No
0774-BCCLO,Female,0,No,Yes,38,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),44.78,1657.97,No
0775-IWHKP,Female,0,No,No,56,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,75.81,4157.54,No
0776-ZYVDA,Female,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),61.21,2843.66,No
0777-XGBXE,Male,0,Yes,No,62,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,76.38,4755.02,No
0778-GDEXA,Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,686.91,No
0779-AOTSJ,Male,0,No,No,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.51,1025.84,No
0780-RCKOK,Female,0,Yes,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,1154.76,No
0781-QQFEH,Male,0,No,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,674.54,Yes
0782-BPTXL,Female,0,No,No,66,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),87.87,5780.08,No
0783-FADQM,Male,0,No,No,61,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,56.2,3444.57,Yes
0784-REXXC,Male,1,No,Yes,28,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,63.13,1751.59,No
0785-KMDZN,Female,1,Yes,Yes,30,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,50.78,1540.9,No
0786-VKJSR,Male,0,No,Yes,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.14,4546.12,No
0787-FOUJE,Male,0,No,Yes,38,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),57.52,2193.07,No
0788-ZEJEC,Female,1,No,Yes,0,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),55.7,18.8,No
0789-WFDRI,Male,0,No,Yes,55,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,1050.28,No
0790-QMOTQ,Female,0,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.25,1021.97,No
0791-MPVDE,Male,1,No,No,20,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,66.84,1390.76,No
0792-EIQMB,Male,0,No,No,53,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,No,Electronic check,39.34,2167.76,No
0793-MVUWS,Female,0,No,No,70,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),84.02,5932.46,No
0794-CJBMS,Male,0,No,No,42,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),54.56,2312.69,No
0795-ZQUNL,Male,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.13,1115.24,No
0796-ULKGD,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),82.0,56.39,Yes
0797-SAXCM,Female,0,No,No,13,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,50.16,694.68,Yes
0798-OBKDS,Female,0,No,Yes,2,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),77.02,142.48,Yes
0799-QCRHV,Male,1,Yes,No,13,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,52.45,666.12,No
0800-YXZSE,Male,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.73,76.9,No
0801-GUHEQ,Female,0,No,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Electronic check,69.53,2706.96,No
0802-EDVSU,Male,0,No,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.36,61.68,Yes
0803-BKVMO,Male,0,Yes,No,42,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Credit card (automatic),56.41,2433.04,No
0804-LVUVK,Male,0,No,Yes,58,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,37.15,2176.28,No
0805-GEQXT,Male,0,No,No,14,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),69.54,867.76,Yes
0806-INZLF,Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.76,883.13,No
0807-QSSZP,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,59.43,372.66,Yes
0808-LLTFW,Female,0,Yes,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,735.78,No
0809-ZDFKA,Male,0,No,No,6,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,52.97,236.88,No
0810-XWOKY,Male,0,Yes,Yes,46,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,41.05,1898.39,Yes
0811-SRQSU,Male,0,No,Yes,18,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),53.04,934.28,No
0812-NRSOO,Female,1,No,No,52,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),63.72,3385.29,No
0813-DGMCP,Female,1,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.63,337.62,Yes
0814-IHTMQ,Female,0,No,No,61,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,57.59,3488.75,No
0815-QQAHS,Female,1,Yes,No,65,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,53.78,3427.84,No
0816-FCEMO,Female,0,Yes,Yes,64,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,72.74,4657.74,No
0817-NWPRV,Male,1,No,No,50,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,45.92,2337.82,No
0818-VKCVJ,Male,0,No,No,35,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),53.47,1861.75,Yes
0819-JUPLB,Male,0,Yes,No,34,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),67.08,2319.76,No
0820-IXCXY,Male,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.78,500.33,No
0821-OCSRH,Female,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.61,1508.63,No
0822-ZQHGG,Male,0,No,No,28,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,69.9,1959.52,No
0823-CADYE,Male,0,Yes,No,0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,54.82,18.8,Yes
0824-AOEMH,Male,0,Yes,No,56,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,55.91,3192.63,No
0825-HEIAD,Male,0,No,No,8,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,68.45,598.29,No
0826-CBHWI,Female,0,Yes,No,14,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),66.3,983.44,No
0827-BNNDF,Female,0,No,Yes,15,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,53.86,986.66,No
0828-KCHCN,Male,1,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.83,880.04,No
0829-MMBMS,Male,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,635.66,No
0830-FPBHQ,Male,0,Yes,Yes,52,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,57.67,2991.23,Yes
0831-WBJPF,Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),76.54,124.49,Yes
0832-BBZMX,Female,0,No,No,18,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,73.4,1348.72,No
0833-OBGCH,Female,0,Yes,No,40,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,70.34,2798.21,No
0834-WNXWV,Male,0,No,No,36,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.96,2123.36,Yes
0835-GUGAQ,Male,1,Yes,Yes,58,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,47.45,2754.87,No
0836-IUMUS,Female,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,73.85,4903.21,No
0837-USYYV,Female,0,No,Yes,7,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.29,409.2,Yes
0838-QWWJJ,Male,0,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,76.73,1026.86,No
0839-DHVTT,Male,1,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,1049.06,No
0840-RNRNT,Male,0,No,No,34,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),64.91,2270.96,No
0841-UXOVD,Female,0,No,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,297.96,No
0842-MWHRL,Female,0,Yes,No,70,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),76.9,5408.67,No
0843-WNBRX,Female,0,No,Yes,34,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.0,1519.57,No
0844-BKILQ,Female,0,Yes,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.25,18.8,No
0845-OYQZZ,Female,1,Yes,No,59,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),55.2,3262.12,Yes
0846-RVFQW,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.18,303.24,No
0847-XRHIF,Male,1,No,No,48,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (automatic),64.22,3095.8,No
0848-ELYKY,Male,0,Yes,No,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,1273.56,No
0849-AKSIB,Male,0,No,No,34,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,63.62,2208.76,No
0850-LDDRO,Female,0,Yes,No,44,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),49.03,2206.71,Yes
0851-SMSQF,Male,0,Yes,No,40,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),37.74,1461.25,Yes
0852-PXLSE,Female,0,No,No,60,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),53.39,3209.65,No
0853-QZWZA,Female,1,No,No,14,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),72.04,930.36,No
0854-YXWJO,Male,1,Yes,No,66,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,44.27,2926.01,No
0855-WUUKM,Male,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,81.22,4654.74,No
0856-EAXLK,Male,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,78.7,65.51,Yes
0857-QDOYI,Male,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,68.14,381.01,No
0858-UTSSL,Male,1,No,No,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.46,1420.52,No
0859-EJQEV,Male,0,No,No,15,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,48.69,682.4,No
0860-PGICO,Female,1,No,No,22,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),44.66,995.23,Yes
0861-PRNCL,Female,0,No,No,40,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),58.91,2354.03,No
0862-IGIMR,Female,0,No,Yes,29,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,67.4,1931.51,No
0863-EMDBP,Male,0,Yes,No,66,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),75.57,5002.07,No
